CRN,Course,Title,Distribution,Time,Professor1,Professor2,Location,Day
10137,ENG 203 - 01,Short Narrative,LL,08:30 am - 09:40 am,Marilyn Sides,,None,MR
11617,ENG 203 - 02,Short Narrative,LL,01:30 pm - 02:40 pm,James Wallenstein,,None,MR
12645,ENG 204 - 01,The Art of Screenwriting,"ARS, LL",09:50 am - 12:20 pm,Margaret Cezair-Thompson,,None,W
14000,ENG 205 - 01,Writing for Children,LL,11:10 am - 12:20 pm,Susan Meyer,,None,MR
14008,ENG 207 - 01,Short-Form Nonfiction,LL,09:50 am - 11:00 am,James Wallenstein,; Robert Goree,None,MR
14001,ENG 223 - 01,Shakes I: Elizabethan Period,"ARS, LL",09:50 am - 11:00 am,William Cain,,None,TF
13161,ENG 227 - 01,Milton,LL,02:50 pm - 04:00 pm,James Noggle,,None,TF
13635,ENG 241 - 01,Romantic Poetry,LL,11:10 am - 12:20 pm,Alison Hickey,,None,TF
14002,ENG 253 - 01,Contemporary American Poetry,LL,04:10 pm - 06:40 pm,Frank Bidart,,None,M
13763,ENG 266 - 01,Tpc: American Novels and Films,None,01:30 pm - 02:40 pm,William Cain,,None,TF
14003,ENG 272 - 01,The 19th Century Novel,LL,09:50 am - 11:00 am,Susan Meyer,,None,MR
14081,ENG 275 - 01,Translation,LL,02:50 pm - 04:00 pm,Lawrence Rosenwald,,None,MR
13248,ENG 286 - 01,The Gay 1990s,LL,01:30 pm - 02:40 pm,Octavio Gonzalez,,None,MR
14082,ENG 296 - 01,Immigration & Diaspora,LL,09:50 am - 11:00 am,Kathleen Brogan,,None,TF
14083,ENG 299 - 01,Horror Films in America,ARS,06:30 pm - 09:30 pm; 02:15 pm - 03:25 pm,Vernon Shetley,,None,M; W
14005,ENG 315 - 01,Tpc: Medieval Romance & Race,LL,02:15 pm - 04:45 pm,Cord Whitaker,,None,W
14006,ENG 320 - 01,Tpc: Literature & Suffering,LL,04:10 pm - 05:20 pm,Luther Tyler,,None,MR
14079,ENG 351 - 01,The Robert Garis Seminar,LL,02:50 pm - 04:00 pm,Sebastian Smee,,None,TF
14151,ENG 375 - 01,Translation,LL,02:50 pm - 04:00 pm,Lawrence Rosenwald,,None,MR
13671,ENG 382 - 01,Literary Theory,"EC, LL",09:50 am - 12:20 pm,James Noggle,,None,W
14007,ENG 387 - 01,Tpc: James Merrill,LL,09:50 am - 11:00 am,Daniel Chiasson,,None,MR
14009,ENG 388 - 01,"Trauma, Conflict, & Narrative","LL, SBA",02:50 pm - 04:00 pm,Catia Confortini,; Margaret Cezair-Thompson,None,TF
13831,ENGR 111 - 01,Product Creation for All,MM,09:50 am - 12:20 pm,Amy Banzaert,,None,WF
13832,ENGR 120 - 01,Making a Diff through Engr,MM,01:30 pm - 04:00 pm,Amy Banzaert,,None,TF
11319,ES 101 - 01,Fundamentals of Envr Sci w/Lab,"NPS, QRF",02:50 pm - 05:20 pm,Alden Griffith,,None,M
11320,ES 101 - L01,LAB:Intro ES:Methods& Analysis,"NPS, QRF",08:30 am - 12:00 pm,Alden Griffith,,None,W
11321,ES 101 - L02,LAB:Intro ES:Methods& Analysis,"NPS, QRF",02:15 pm - 05:45 pm,Alden Griffith,,None,W
12825,ES 103 - 01,FYS: Envir&Society: Food & Ag,None,01:30 pm - 02:40 pm; 01:30 pm - 04:00 pm,None,,None,T; F
14084,ES 104 - 01,FYS: How to Save the Planet,SBA,01:30 pm - 02:40 pm,Elizabeth DeSombre,,None,MR
11284,ES 214 - 01,Soc Cause & Conseq Env Probs,SBA,09:50 am - 11:00 am,Elizabeth DeSombre,,None,MR
13412,ES 229 - 01,Latin America: Food and Enviro,None,02:15 pm - 04:45 pm,Katherine Goodall,,None,W
14158,ES 234 - 01,From Wilderness to Ruins,REP,11:10 am - 12:20 pm,Erich Matthes,,None,MR
13676,ES 399 - 01,CSPW:EnvSynthesis&Communicat'n,None,01:30 pm - 04:00 pm,James Turner,,None,R
10054,FREN 101 - 01,Beginning French I,None,09:50 am - 11:00 am; 11:10 am - 12:20 pm,Sylvaine Egron-Sparrow,,None,MR; W
10116,FREN 101 - 02,Beginning French I,None,01:30 pm - 02:40 pm; 11:10 am - 12:20 pm,Scott Gunther,,None,MR; W
10775,FREN 103 - 01,Intensive French I,None,08:30 am - 09:40 am,Barry Lydgate,,None,MWR
10008,FREN 201 - 01,French Lang Lit & Culture I,None,02:50 pm - 04:00 pm; 02:15 pm - 03:25 pm,Marie-Paule Tranvouez,,None,MR; W
10051,FREN 201 - 02,French Lang Lit & Culture I,None,11:10 am - 12:20 pm,Codruta Morari,,None,TWF
10118,FREN 201 - 03,French Lang Lit & Culture I,None,08:30 am - 09:40 am,Marie-Cecile Ganne-Schiermeier,,None,MWR
13849,FREN 201 - 04,French Lang Lit & Culture I,None,09:50 am - 11:00 am,Marie-Cecile Ganne-Schiermeier,,None,MWR
11167,FREN 205 - 01,Lit & Film in Cultural Context,LL,09:50 am - 11:00 am,Venita Datta,,None,TF
10039,FREN 206 - 01,Intermediate Spoken French,LL,02:50 pm - 04:00 pm,Catherine Masson,,None,TF
13779,FREN 208 - 01,Women and Literary Tradition,LL,01:30 pm - 02:40 pm,Catherine Masson,,None,TF
12697,FREN 209 - 01,Tpc: The Paris of Poets,None,01:30 pm - 02:40 pm,James Petterson,,None,MR
12757,FREN 210 - 01,Tpc: Middle Ages Enlightenment,LL,02:50 pm - 04:00 pm,Helene Bilis,,None,TF
10180,FREN 211 - 01,Studies in Language,LL,11:10 am - 12:20 pm,Sylvaine Egron-Sparrow,,None,MR
14011,FREN 217 - 01,Books of the Self,"LL, REP",11:10 am - 12:20 pm,Barry Lydgate,,None,MR
14014,FREN 232 - 01,Occupation and Resistance,"HS, LL",11:10 am - 12:20 pm,Venita Datta,,None,TF
14085,FREN 278 - 01,17th and 18th Cent. French Lit,LL,01:30 pm - 02:40 pm,Helene Bilis,,None,TF
10414,FREN 308 - 01,Advanced Studies Language,LL,02:50 pm - 04:00 pm,James Petterson,,None,MR
